Date,^BSESN,ADANIPORTS.BO,RELIANCE.BO,BAJFINANCE.BO,HDFCBANK.BO,TATAMOTORS.BO,TCS.BO,ITC.BO,ICICIBANK.BO,SBIN.BO,TECHM.BO,FEDERALBNK.BO,DLF.BO,BHARATFORG.BO,VOLTAS.BO,GAIL.BO,ACC.BO,NAUKRI.BO,TATAPOWER.BO,BANKBARODA.BO,AMBUJACEM.BO
25-05-2018,34753.46875,371.5,918.0499878,2106,998.9500122,288.6499939,1809.5,273.3999939,297.5,268.2000122,711.5499878,82.69999695,196.0500031,652,533,155.5,1332.800049,1175.5,76.34999847,139,214.5
28-05-2018,35074.32031,382.9500122,923.5499878,2134,1007.5,294.8999939,1800.550049,274.3999939,294.1499939,267.5,722,85.80000305,204.1499939,671.4000244,546,160.5249939,1326,1162.5,81.40000153,142.5,213
29-05-2018,35213.14063,380,920.0499878,2130,1021.150024,296.2999878,1756,274.8999939,299,270.1000061,678,86.05000305,205.5,668.8499756,559.6500244,167.4750061,1335,1182.5,82.69999695,145.3999939,212
30-05-2018,34876.12891,377.2999878,914,2060.25,1015,290.8999939,1760,272.5,287,261.6000061,674.7999878,86,203.0500031,659.9000244,540,171.5749969,1310,1232,82.44999695,139,209.75
31-05-2018,35083.80859,372.6000061,919.3499756,2140,1050.025024,290.7999878,1742.300049,271.7999878,284.1000061,267.3999939,686.9500122,86.05000305,208.3000031,667,552,172.5,1308.75,1305,83.5,138.8000031,210
01-06-2018,35373.98047,389,921.2999878,2132,1062,286.6499939,1758,271.6499939,291.0499878,269.5,711.9500122,85,209.5500031,650,534,175,1360.800049,1240.050049,80.94999695,137.25,205.1999969
04-06-2018,35503.23828,387.6000061,934.7999878,2104.600098,1077.099976,291.6000061,1751.699951,270,293.75,268.8500061,702,83,207,648,539.75,172.4750061,1325.099976,1235,79.69999695,136.1000061,207
05-06-2018,35029.44922,383,941.25,2065.800049,1025,286,1745,270,287.5,262,704,82.5,197.1000061,635,533,168.4750061,1301.050049,1189.849976,77,132,201.6000061
06-06-2018,34932.48828,375,948.9000244,2119,1029.5,286.0499878,1724.699951,268,284.7999878,263,703.0999756,82.90000153,197.1499939,644.7000122,510,166.5,1294.75,1197.050049,78.05000305,127,201.8000031
07-06-2018,35278.37891,376,955,2173,1032.5,297,1725.400024,270.2000122,287.3999939,271.3999939,693,83.40000153,201,650.7000122,530,165,1327.400024,1217.400024,79.5,131,206
08-06-2018,35406.46875,379.3999939,968.9000244,2170.800049,1025.275024,306.7999878,1736,271.1000061,292,269.0499878,704.0999756,86,202.1499939,652.3499756,522.6500244,168,1315,1205.800049,78,131,205.8999939
11-06-2018,35472.58984,382.6000061,984.3499756,2205,1026,311.7999878,1747,267.8500061,285,273.7000122,713.5,86.40000153,206,656.4000244,532.7999878,172,1315.5,1205.699951,77.94999695,133.1999969,206.5
12-06-2018,35525.30078,385.7999878,982.2000122,2256,1024,310,1756,269.25,287.1499939,273.6499939,716.0499878,87.5,202.4499969,645.0999756,520,173,1322.599976,1204.599976,79.40000153,133.8999939,206
13-06-2018,35835.44141,388.5,999,2270,1022.5,308.2000122,1815,273.8999939,290,284,713.0999756,90.90000153,205.8999939,660,549.9000244,172.1999969,1317,1239.699951,78.40000153,134.3000031,209
14-06-2018,35743.10156,385,996.2000122,2233,1019,308.4500122,1839,267,291.5,287,711,86,203.6499939,655,525,172.5,1332.949951,1211,77.94999695,136.8000031,209.8999939
15-06-2018,35656.26172,372,1007.5,2252,1020.400024,306,1801,267.5,287,282.7000122,699.5,85.30000305,205.3500061,648,525.2000122,169.5,1310.050049,1264.400024,77.5,134.8000031,205
18-06-2018,35698.42969,373,1010.799988,2289.949951,1017.849976,303.5499878,1869,264.5,284.9500122,277.5,708.5,83.55000305,200.1499939,650,519.6500244,167.5,1304,1225,76.94999695,131.3999939,204.3000031
19-06-2018,35552.46875,369.1000061,1015,2245,1011.025024,309,1822.650024,263.5499878,296.5499878,276,708,84,200.1999969,638.7000122,519,168.75,1295.550049,1190,75,130.8999939,203.6999969
20-06-2018,35329.60938,363.3999939,996.5,2285,1014.5,304.7000122,1833,266.9500122,292,272.5499878,702,82.90000153,196.8000031,636,516.1500244,172.4250031,1285.199951,1198.800049,73.5,128.1999969,201.3000031
21-06-2018,35644.05078,369,1023,2268,1033.5,306.2000122,1830,264.7999878,293.6499939,274.3999939,694.9500122,83.80000305,201.5,631.4000244,526.5,171.0749969,1276.599976,1195,74.55000305,125.9499969,198.0500031
22-06-2018,35428.42188,365.8999939,1030,2269.149902,1030,308.4500122,1828.800049,260.25,298.1000061,268,681,83,200,606,517.4500122,171.25,1275,1182.550049,74.09999847,122.0999985,196.3999939
25-06-2018,35783.75,375,1017,2385,1042.5,308.1499939,1812,265.1499939,299.8999939,273,686.4000244,82.40000153,201,620,520.7000122,170.4499969,1305,1204.400024,76.69999695,121.75,204.75
26-06-2018,35355.71875,360.0499878,1003.599976,2389,1038,289.7000122,1821,262,287.3999939,267,691.0499878,82.05000305,195,605,512.7999878,171,1316,1184,76.25,116,206.8000031
27-06-2018,35543.89063,363.3500061,980,2380,1042.800049,279,1859.800049,265.3999939,288.5,268,695,83.15000153,195.8999939,612,529.9000244,172.5,1363,1205,74.09999847,117.5999985,215.3999939
28-06-2018,35207.19141,360,965.0499878,2358,1056.5,271.2000122,1865,263.5,278.7999878,260,715.0999756,82.55000305,190.5,594,535,162.8500061,1300,1171,71.05000305,114,204.8999939
29-06-2018,35128.16016,374,952,2277,1063.949951,265,1846,262.5,272,257.6000061,676.0999756,78.80000305,184,602,514.5,160,1302,1137.050049,71.59999847,113.75,203
02-07-2018,35545.21875,372,973,2299,1043.125,276,1829.949951,268,275,259.8999939,655.5499878,83.90000153,187,615,525,170.8999939,1342,1192,73.15000153,113.5,208
03-07-2018,35344.21094,368.8999939,964,2305,1040,268.1000061,1859.949951,264,275,260,658.0999756,80.59999847,184.5,611,515.5,172.3500061,1319.5,1200,72.19999695,113.5,201.6000061
04-07-2018,35385.51953,363,974.7999878,2348.699951,1035.275024,269.6000061,1879,266,273.1499939,257,663,83.19999695,186,615,525,172.5,1337,1173.699951,72.09999847,115,201.6000061
05-07-2018,35703.17188,361.8999939,998.7000122,2336,1051.625,264,1875.199951,264.9500122,273.5,257.1000061,660,83.30000305,186.3999939,643.7999878,526.6500244,174.1499939,1355.5,1155,71.59999847,113.25,202.1000061
06-07-2018,35543.66016,362.8999939,965.9000244,2351,1054.5,261.6000061,1882.800049,272.9500122,270.1499939,256.8999939,645,81,181.3000031,620,516.25,173.0500031,1392,1238.849976,71.05000305,114.4000015,207.3000031
09-07-2018,35835.10156,366,985.5,2365,1058.25,273.5,1927.949951,275,272.1000061,258,640.0499878,81.75,187,635,523.0999756,170.0749969,1377.849976,1223.199951,71.59999847,116,211.1999969
