Date,ACC.BO,ADANIPORTS.BO,AMBUJACEM.BO,BAJFINANCE.BO,BANKBARODA.BO,BHARATFORG.BO,DLF.BO,FEDERALBNK.BO,GAIL.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,NAUKRI.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TATAPOWER.BO,TCS.BO,TECHM.BO,VOLTAS.BO,^BSESN
2020-10-07,1442.0,363.0,225.60000610351562,3415.0,41.70000076293945,468.1000061035156,162.89999389648438,51.95000076293945,86.9000015258789,1145.0,379.8999938964844,170.0,3486.699951171875,2233.25,192.8000030517578,144.10000610351562,54.95000076293945,2738.0,846.5499877929688,669.9000244140625,39633.19140625
2020-10-08,1480.0,360.0,237.14999389648438,3349.0,41.650001525878906,467.0,159.0,51.25,87.0,1175.550048828125,385.0,170.25,3476.10009765625,2261.800048828125,191.5500030517578,142.8000030517578,56.099998474121094,2825.0,858.2000122070312,680.0,40204.3203125
2020-10-09,1519.0,361.6499938964844,238.5,3333.699951171875,42.25,470.0,161.0,52.04999923706055,84.94999694824219,1200.0,388.6000061035156,167.5,3475.0,2237.0,191.5,141.39999389648438,55.25,2823.0,857.0,693.0999755859375,40226.25
2020-10-12,1501.0,360.0,239.0,3353.0,44.79999923706055,466.6499938964844,158.8000030517578,53.400001525878906,87.0,1235.0,404.25,169.9499969482422,3462.5,2233.5,200.0500030517578,139.5500030517578,54.45000076293945,2818.89990234375,857.0999755859375,689.2999877929688,40716.94921875
2020-10-13,1519.0,358.0,239.25,3325.0,41.900001525878906,460.0,155.8000030517578,52.25,84.0,1214.1500244140625,401.6000061035156,172.85000610351562,3510.0,2232.199951171875,198.6999969482422,135.5500030517578,52.900001525878906,2845.0,857.7000122070312,662.0,40592.5390625
2020-10-14,1524.0,349.8999938964844,242.0,3252.5,41.5,455.04998779296875,156.0,52.400001525878906,83.0,1193.300048828125,394.1499938964844,170.14999389648438,3580.75,2284.89990234375,194.0500030517578,134.0,54.400001525878906,2840.14990234375,868.0,665.8499755859375,40623.19140625
2020-10-15,1548.0,351.0,247.10000610351562,3370.0,41.599998474121094,444.8999938964844,160.25,53.29999923706055,82.0999984741211,1214.800048828125,407.0,167.89999389648438,3755.0,2291.0,200.9499969482422,131.89999389648438,53.599998474121094,2810.10009765625,851.0,665.2000122070312,41048.05078125
2020-10-16,1523.0,342.6499938964844,243.89999389648438,3299.89990234375,40.650001525878906,445.20001220703125,155.4499969482422,52.0,82.80000305175781,1182.0,394.20001220703125,165.10000610351562,3699.949951171875,2214.800048828125,194.8000030517578,129.8000030517578,53.29999923706055,2751.0,814.5,688.0999755859375,39936.609375
2020-10-19,1565.0999755859375,352.79998779296875,248.14999389648438,3243.0,40.75,458.0,164.6999969482422,53.29999923706055,84.05000305175781,1220.0,400.1000061035156,166.9499969482422,3622.199951171875,2192.0,196.5,130.6999969482422,54.900001525878906,2777.0,829.9000244140625,705.5999755859375,40318.5703125
2020-10-20,1579.949951171875,347.0,249.0,3262.0,42.900001525878906,452.0,164.39999389648438,55.599998474121094,85.25,1212.0,413.95001220703125,168.6999969482422,3474.85009765625,2183.699951171875,200.0,128.0,54.95000076293945,2722.0,818.0,683.0,40420.2890625
